fixture_id,Goles_Todo_HTML,Goles_1P_HTML,Goles_2P_HTML,Goles_Todo_TXT
1492110,27' J. Lopez (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 44' V. Hugo (R. Lodi) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 74' Khellven <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span> | 84' V. Roque <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span>,27' J. Lopez (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 44' V. Hugo (R. Lodi) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,74' Khellven <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span> | 84' V. Roque <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span>,27' J. Lopez (A. Pereira) 0-1 | 44' V. Hugo (R. Lodi) 1-1 | 74' Khellven 2-1 | 84' V. Roque 2-2
1492111,48' Danilo (A. Cabral) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 76' M. Martins (A. Montoro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 85' Danilo (N. Fernandes) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-0</span> | 90' Artur <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-0</span>,,48' Danilo (A. Cabral) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 76' M. Martins (A. Montoro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 85' Danilo (N. Fernandes) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-0</span> | 90' Artur <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-0</span>,48' Danilo (A. Cabral) 1-0 | 76' M. Martins (A. Montoro) 2-0 | 85' Danilo (N. Fernandes) 3-0 | 90' Artur 4-0
1492112,16'(pen) W. Clar <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 45' G. Menino (I. Vinicius) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 67' A. Barreal (Z. Rafael) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span> | 73' H. Meritao <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span> | 80' J. Carlos <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-2</span> | 90' R. Carvalheira (J. Carlos) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-2</span>,16'(pen) W. Clar <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 45' G. Menino (I. Vinicius) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,67' A. Barreal (Z. Rafael) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span> | 73' H. Meritao <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span> | 80' J. Carlos <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-2</span> | 90' R. Carvalheira (J. Carlos) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-2</span>,16'(pen) W. Clar 1-0 | 45' G. Menino (I. Vinicius) 1-1 | 67' A. Barreal (Z. Rafael) 1-2 | 73' H. Meritao 2-2 | 80' J. Carlos 3-2 | 90' R. Carvalheira (J. Carlos) 4-2
1492113,12' B. Bidon (R. Garro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 32' J. Lucas (Gilberto) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 45'(pen) W. Jose <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,12' B. Bidon (R. Garro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 32' J. Lucas (Gilberto) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 45'(pen) W. Jose <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,,12' B. Bidon (R. Garro) 1-0 | 32' J. Lucas (Gilberto) 1-1 | 45'(pen) W. Jose 1-2
1492114,90' J. Capixaba (Marcelinho) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,,90' J. Capixaba (Marcelinho) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,90' J. Capixaba (Marcelinho) 0-1
1492115,46' Nonato <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 59' L. Acosta (Rene) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 75' C. Vinicius (G. Martins) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,,46' Nonato <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 59' L. Acosta (Rene) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 75' C. Vinicius (G. Martins) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,46' Nonato 1-0 | 59' L. Acosta (Rene) 2-0 | 75' C. Vinicius (G. Martins) 2-1
1492116,9' S. Mendoza (K. Viveros) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,9' S. Mendoza (K. Viveros) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,,9' S. Mendoza (K. Viveros) 0-1
1492117,21' Coutinho (J. Rodriguez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 32' C. Cuesta <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 54' Eduardo (Alesson) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,21' Coutinho (J. Rodriguez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 32' C. Cuesta <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,54' Eduardo (Alesson) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,21' Coutinho (J. Rodriguez) 0-1 | 32' C. Cuesta 1-1 | 54' Eduardo (Alesson) 2-1
1492118,54' G. Plata (Pedro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 61' Luciano (E. Diaz) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 71' Danielzinho <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,,54' G. Plata (Pedro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 61' Luciano (E. Diaz) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 71' Danielzinho <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,54' G. Plata (Pedro) 0-1 | 61' Luciano (E. Diaz) 1-1 | 71' Danielzinho 2-1
1492119,58' R. Kayzer (Erick) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 77' Baralhas (Erick) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,,58' R. Kayzer (Erick) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 77' Baralhas (Erick) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,58' R. Kayzer (Erick) 1-0 | 77' Baralhas (Erick) 2-0
1492120,20' R. Garro <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,20' R. Garro <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,,20' R. Garro 0-1
1492121,20' J. Kennedy (Nonato) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 78' C. Olivera <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,20' J. Kennedy (Nonato) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,78' C. Olivera <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,20' J. Kennedy (Nonato) 0-1 | 78' C. Olivera 1-1
1492122,38' G. Neves <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span>,38' G. Neves <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span>,,38' G. Neves 1-0
1492123,19' M. Pereira (L. Romero) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 45' J. Lavega (B. Melo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 53' B. Lopes <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,19' M. Pereira (L. Romero) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 45' J. Lavega (B. Melo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,53' B. Lopes <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,19' M. Pereira (L. Romero) 1-0 | 45' J. Lavega (B. Melo) 1-1 | 53' B. Lopes 1-2
1492124,45' R. Borre (J. Carbonero) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 68'(pen) G. de Arrascaeta <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,45' R. Borre (J. Carbonero) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,68'(pen) G. de Arrascaeta <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,45' R. Borre (J. Carbonero) 0-1 | 68'(pen) G. de Arrascaeta 1-1
1492125,17' A. Cabral (A. Barboza) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 26' C. Vinicius <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 36' Danilo (A. Montoro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span> | 50' C. Vinicius (F. Amuzu) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span> | 57'(pen) C. Vinicius <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-2</span> | 60' Tete (F. Amuzu) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-2</span> | 79' Edenilson <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>5-2</span> | 86' Danilo (A. Barboza) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>5-3</span>,17' A. Cabral (A. Barboza) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 26' C. Vinicius <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 36' Danilo (A. Montoro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,50' C. Vinicius (F. Amuzu) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span> | 57'(pen) C. Vinicius <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-2</span> | 60' Tete (F. Amuzu) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-2</span> | 79' Edenilson <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>5-2</span> | 86' Danilo (A. Barboza) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>5-3</span>,17' A. Cabral (A. Barboza) 0-1 | 26' C. Vinicius 1-1 | 36' Danilo (A. Montoro) 1-2 | 50' C. Vinicius (F. Amuzu) 2-2 | 57'(pen) C. Vinicius 3-2 | 60' Tete (F. Amuzu) 4-2 | 79' Edenilson 5-2 | 86' Danilo (A. Barboza) 5-3
1492126,24' Murilo (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 28' G. Gomez (Murilo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 45' Mauricio (J. Piquerez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-0</span> | 56' Dudu (Fabricio) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-1</span> | 63' A. Elias (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-1</span> | 80' R. Sosa (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>5-1</span>,24' Murilo (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 28' G. Gomez (Murilo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 45' Mauricio (J. Piquerez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-0</span>,56' Dudu (Fabricio) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-1</span> | 63' A. Elias (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>4-1</span> | 80' R. Sosa (A. Pereira) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>5-1</span>,24' Murilo (A. Pereira) 1-0 | 28' G. Gomez (Murilo) 2-0 | 45' Mauricio (J. Piquerez) 3-0 | 56' Dudu (Fabricio) 3-1 | 63' A. Elias (A. Pereira) 4-1 | 80' R. Sosa (A. Pereira) 5-1
1492127,8' J. Pedro (A. Manga) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 39' A. Manga <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 81' I. Formiga (J. Aldo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span> | 89' N. Fogaca (J. Victor) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span>,8' J. Pedro (A. Manga) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 39' A. Manga <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,81' I. Formiga (J. Aldo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span> | 89' N. Fogaca (J. Victor) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span>,8' J. Pedro (A. Manga) 1-0 | 39' A. Manga 2-0 | 81' I. Formiga (J. Aldo) 2-1 | 89' N. Fogaca (J. Victor) 2-2
1492128,45' Z. Rafael <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 66' J. Calleri (L. Moura) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,45' Z. Rafael <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span>,66' J. Calleri (L. Moura) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,45' Z. Rafael 1-0 | 66' J. Calleri (L. Moura) 1-1
1492129,55' J. Rodriguez (A. Gomez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 90' J. Carlos <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,,55' J. Rodriguez (A. Gomez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 90' J. Carlos <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,55' J. Rodriguez (A. Gomez) 1-0 | 90' J. Carlos 1-1
1492130,6'(pen) Julimar <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 17' Thaciano <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 90' K. Viveros (L. Esquivel) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,6'(pen) Julimar <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 17' Thaciano <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,90' K. Viveros (L. Esquivel) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,6'(pen) Julimar 1-0 | 17' Thaciano 1-1 | 90' K. Viveros (L. Esquivel) 2-1
1492131,22' Hulk (V. Hugo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 42' V. Bueno <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 70' R. Tressoldi (Hulk) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span> | 87' Y. Pikachu (P. de Paula) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span> | 90' A. Manga (P. de Paula) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-3</span> | 90' Dudu <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-3</span>,22' Hulk (V. Hugo) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 42' V. Bueno <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,70' R. Tressoldi (Hulk) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span> | 87' Y. Pikachu (P. de Paula) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-2</span> | 90' A. Manga (P. de Paula) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-3</span> | 90' Dudu <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>3-3</span>,22' Hulk (V. Hugo) 1-0 | 42' V. Bueno 1-1 | 70' R. Tressoldi (Hulk) 2-1 | 87' Y. Pikachu (P. de Paula) 2-2 | 90' A. Manga (P. de Paula) 2-3 | 90' Dudu 3-3
