Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,fixture_id
13/08/2026,Saudi Pro League,2026/2027,ABHA,AL-HAZM,1,2,0,2,A,10,8,6,3,10,16,5,1,2,3,0,0,512,302,1,5,63,37,1602972
13/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL-QADISIYAH FC,1,3,1,1,A,8,15,3,6,13,13,6,9,2,1,0,0,353,428,3,2,45,55,1602974
14/08/2026,Saudi Pro League,2026/2027,NEOM,AL-FAYHA,2,1,2,0,H,15,13,5,5,5,11,3,4,0,1,1,0,558,473,5,2,54,46,1602975
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,4,2,3,0,H,16,8,5,5,18,15,7,1,0,1,0,0,374,376,3,1,50,50,1602977
14/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL RIYADH,4,2,1,1,H,20,7,11,4,11,8,7,0,2,1,0,1,465,245,2,7,66,34,1602976
15/08/2026,Saudi Pro League,2026/2027,AL TAAWON,AL KHALEEJ SAIHAT,0,0,0,0,D,12,9,3,6,10,14,6,4,1,3,0,0,362,336,6,3,53,47,1602978
15/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL KHOLOOD,1,1,1,0,D,15,11,4,5,9,13,5,3,1,1,1,0,422,436,4,3,49,51,1602979
15/08/2026,Saudi Pro League,2026/2027,AL-NASSR,AL-FATEH,3,0,2,0,H,18,9,9,3,11,10,6,4,1,1,0,0,449,308,3,6,59,41,1602980
20/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,AL-HILAL SAUDI FC,0,3,0,1,A,8,25,3,11,8,9,1,5,1,0,0,0,382,573,7,3,40,60,1602981
21/08/2026,Saudi Pro League,2026/2027,AL RIYADH,AL-NASSR,0,4,0,2,A,11,17,1,5,13,9,3,9,0,0,0,0,347,444,1,1,43,57,1602982
21/08/2026,Saudi Pro League,2026/2027,AL-HAZM,AL DIRIYAH,0,1,0,1,A,5,11,2,5,8,6,4,1,2,1,0,0,444,374,4,2,55,45,1602983
21/08/2026,Saudi Pro League,2026/2027,AL-FAISALY FC,NEOM,0,2,0,0,A,7,8,3,3,7,15,1,3,2,0,0,0,460,339,1,3,58,42,1602984
21/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-ITTIHAD FC,0,1,0,1,A,26,5,9,2,11,8,15,1,1,2,0,1,556,295,1,8,66,34,1602985
22/08/2026,Saudi Pro League,2026/2027,AL-FATEH,AL-ETTIFAQ,0,1,0,0,A,11,14,4,3,12,9,6,11,0,0,0,0,333,398,2,4,45,55,1602986
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,3,2,3,0,H,11,13,6,3,19,24,3,4,4,0,0,0,305,474,0,3,39,61,1602987
22/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL SHABAB,0,0,0,0,D,8,15,3,5,11,11,3,6,1,1,0,0,378,448,4,3,46,54,1602989
22/08/2026,Saudi Pro League,2026/2027,AL-AHLI JEDDAH,ABHA,4,0,2,0,H,16,12,7,3,18,11,2,4,2,2,0,0,428,412,3,3,50,50,1602988
24/08/2026,Saudi Pro League,2026/2027,NEOM,AL-QADISIYAH FC,0,2,0,1,A,16,9,5,3,17,11,2,2,1,1,0,0,476,448,1,5,52,48,1602990
24/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL-HAZM,3,2,2,1,H,15,8,6,2,21,11,4,3,3,3,0,0,441,388,0,2,54,46,1602991
25/08/2026,Saudi Pro League,2026/2027,ABHA,AL KHALEEJ SAIHAT,1,1,1,1,D,15,8,4,1,8,6,5,2,2,1,0,0,432,397,0,3,52,48,1602992
25/08/2026,Saudi Pro League,2026/2027,AL TAAWON,AL-FAYHA,0,0,0,0,D,26,12,6,5,10,8,12,3,1,1,0,0,544,348,5,6,62,38,1602993
25/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL-NASSR,2,3,2,0,A,14,14,5,9,11,10,2,6,1,1,0,1,455,290,6,3,60,40,1602994
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,3,3,2,2,D,25,12,9,4,5,13,10,4,0,2,0,1,519,275,1,6,65,35,1602995
26/08/2026,Saudi Pro League,2026/2027,AL-FAISALY FC,AL-FATEH,1,1,1,1,D,12,14,4,7,12,15,2,4,4,2,1,0,326,382,6,3,46,54,1602996
26/08/2026,Saudi Pro League,2026/2027,AL DIRIYAH,AL KHOLOOD,1,1,0,0,D,10,9,1,4,14,10,8,1,0,3,0,0,522,384,3,0,58,42,1602997
28/08/2026,Saudi Pro League,2026/2027,AL RIYADH,NEOM,1,0,0,0,H,10,12,3,3,13,9,5,5,3,1,0,0,264,550,3,2,33,67,1602998
28/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,ABHA,3,2,1,0,H,18,8,6,5,8,16,5,3,0,3,0,0,444,355,3,3,56,44,1602999
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,1,5,1,5,A,12,23,4,7,5,7,3,2,1,1,0,0,405,467,2,3,47,53,1603000
28/08/2026,Saudi Pro League,2026/2027,AL-NASSR,AL TAAWON,2,1,1,1,H,16,5,5,2,15,8,10,4,2,1,0,0,417,310,1,3,58,42,1603001
29/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL-AHLI JEDDAH,3,1,1,0,H,4,16,3,3,17,10,1,4,2,1,0,0,250,534,2,0,31,69,1603002
29/08/2026,Saudi Pro League,2026/2027,AL-FATEH,AL-ITTIHAD FC,0,0,0,0,D,11,24,7,8,10,15,1,10,3,5,0,0,323,522,8,7,37,63,1603004
29/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL DIRIYAH,0,3,0,1,A,17,16,7,7,7,7,6,6,1,1,0,0,428,365,4,7,54,46,1603003
30/08/2026,Saudi Pro League,2026/2027,AL-HAZM,AL SHABAB,1,1,0,0,D,8,11,4,6,15,11,3,8,1,3,0,1,362,444,4,3,45,55,1603005
30/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-FAISALY FC,3,1,2,1,H,17,5,9,2,12,7,4,2,0,3,0,0,520,387,1,7,57,43,1603006
01/09/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-AHLI JEDDAH,3,0,2,0,H,12,13,6,1,14,9,3,4,2,3,0,1,421,324,1,3,56,44,1603007
03/09/2026,Saudi Pro League,2026/2027,AL-FAYHA,AL KHOLOOD,2,2,1,1,D,10,16,4,4,12,5,3,7,0,2,0,0,350,531,2,3,39,61,1603008
03/09/2026,Saudi Pro League,2026/2027,NEOM,AL KHALEEJ SAIHAT,3,0,3,0,H,11,6,4,0,10,12,3,2,1,1,0,0,381,304,0,1,53,47,1603009
03/09/2026,Saudi Pro League,2026/2027,AL DIRIYAH,AL-QADISIYAH FC,0,2,0,0,A,8,7,2,4,12,17,3,5,1,5,1,0,375,583,2,2,40,60,1603010
04/09/2026,Saudi Pro League,2026/2027,ABHA,AL-ETTIFAQ,0,1,0,0,A,9,8,0,1,12,15,1,8,3,1,0,0,289,422,1,0,39,61,1603011
04/09/2026,Saudi Pro League,2026/2027,AL-AHLI JEDDAH,AL RIYADH,5,0,3,0,H,16,12,8,1,11,8,4,3,1,3,0,0,356,273,1,3,56,44,1603012
04/09/2026,Saudi Pro League,2026/2027,AL SHABAB,AL-HILAL SAUDI FC,0,2,0,0,A,7,24,1,6,11,6,4,14,2,1,0,0,318,502,3,1,38,62,1603013
