Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,fixture_id
05/04/2026,Allsvenskan Suecia 1a,2026,AIK STOCKHOLM,HALMSTAD,2,1,1,0,H,25,11,6,7,11,14,2,3,3,1,0,0,491,374,6,4,56,44,1494113
04/04/2026,Allsvenskan Suecia 1a,2026,DEGERFORS IF,SIRIUS,0,3,0,0,A,7,7,1,4,20,11,6,4,1,0,0,0,369,431,1,1,47,53,1494114
06/04/2026,Allsvenskan Suecia 1a,2026,IF ELFSBORG,IFK GOTEBORG,2,0,0,0,H,15,12,5,1,12,7,6,7,1,4,0,0,337,508,1,3,40,60,1494115
06/04/2026,Allsvenskan Suecia 1a,2026,GAIS,DJURGARDENS IF,0,1,0,0,A,11,12,6,5,14,7,2,10,2,1,0,0,465,431,4,6,52,48,1494116
06/04/2026,Allsvenskan Suecia 1a,2026,BK HACKEN,IF BROMMAPOJKARNA,2,2,0,1,D,17,7,3,4,13,17,6,3,2,1,0,0,606,379,1,2,61,39,1494117
04/04/2026,Allsvenskan Suecia 1a,2026,HAMMARBY FF,MJALLBY AIF,3,0,2,0,H,15,14,5,7,17,16,2,3,2,4,0,0,517,449,7,2,53,47,1494118
05/04/2026,Allsvenskan Suecia 1a,2026,KALMAR FF,VASTERAS SK FK,0,1,0,1,A,16,4,3,2,15,20,14,5,1,3,0,1,449,326,3,3,58,42,1494119
05/04/2026,Allsvenskan Suecia 1a,2026,ORGRYTE IS,MALMO FF,1,1,0,0,D,15,19,7,6,10,10,5,10,1,4,0,0,327,444,5,6,42,58,1494120
13/04/2026,Allsvenskan Suecia 1a,2026,IF BROMMAPOJKARNA,AIK STOCKHOLM,2,2,0,0,D,12,14,4,5,5,8,4,9,2,3,0,0,396,501,3,2,44,56,1494121
12/04/2026,Allsvenskan Suecia 1a,2026,DJURGARDENS IF,KALMAR FF,3,2,2,2,H,21,10,9,5,10,15,5,4,1,0,0,0,635,258,3,5,71,29,1494122
11/04/2026,Allsvenskan Suecia 1a,2026,IFK GOTEBORG,BK HACKEN,0,2,0,1,A,19,12,7,7,8,19,9,3,3,6,1,0,590,272,5,7,68,32,1494123
12/04/2026,Allsvenskan Suecia 1a,2026,HALMSTAD,DEGERFORS IF,0,3,0,1,A,6,10,1,5,14,14,0,6,2,2,0,0,444,366,2,1,54,46,1494124
12/04/2026,Allsvenskan Suecia 1a,2026,MALMO FF,GAIS,3,1,3,0,H,12,11,4,5,13,16,6,5,1,3,0,0,366,451,4,1,46,54,1494125
11/04/2026,Allsvenskan Suecia 1a,2026,MJALLBY AIF,ORGRYTE IS,0,2,0,2,A,22,8,5,4,8,18,12,3,1,3,0,0,578,333,2,4,64,36,1494126
13/04/2026,Allsvenskan Suecia 1a,2026,SIRIUS,HAMMARBY FF,2,0,1,0,H,11,16,4,4,14,13,3,2,0,2,0,0,297,686,4,2,30,70,1494127
11/04/2026,Allsvenskan Suecia 1a,2026,VASTERAS SK FK,IF ELFSBORG,2,2,0,0,D,9,8,3,3,9,13,8,3,0,2,0,0,468,452,1,1,51,49,1494128
19/04/2026,Allsvenskan Suecia 1a,2026,AIK STOCKHOLM,KALMAR FF,1,0,1,0,H,9,18,6,3,12,9,4,5,3,2,0,0,435,464,3,5,47,53,1494129
17/04/2026,Allsvenskan Suecia 1a,2026,DEGERFORS IF,IF ELFSBORG,0,1,0,0,A,11,6,2,3,15,17,7,1,5,3,0,0,478,251,2,2,66,34,1494130
17/04/2026,Allsvenskan Suecia 1a,2026,DJURGARDENS IF,MALMO FF,0,1,0,0,A,19,5,2,1,20,11,10,2,5,4,0,0,489,292,0,2,63,37,1494131
19/04/2026,Allsvenskan Suecia 1a,2026,BK HACKEN,GAIS,2,1,0,0,H,11,8,5,3,10,29,5,3,4,5,0,0,436,533,2,3,45,55,1494132
18/04/2026,Allsvenskan Suecia 1a,2026,HALMSTAD,IFK GOTEBORG,1,1,0,0,D,11,16,3,3,17,18,3,2,1,1,0,0,325,535,2,2,38,62,1494133
18/04/2026,Allsvenskan Suecia 1a,2026,HAMMARBY FF,ORGRYTE IS,8,1,4,1,H,33,12,17,4,8,9,6,6,0,1,0,0,582,360,3,9,62,38,1494134
18/04/2026,Allsvenskan Suecia 1a,2026,MJALLBY AIF,IF BROMMAPOJKARNA,3,0,3,0,H,10,13,4,4,16,16,5,1,0,4,0,0,559,471,4,1,54,46,1494135
18/04/2026,Allsvenskan Suecia 1a,2026,SIRIUS,VASTERAS SK FK,4,1,3,0,H,15,8,5,2,13,14,4,8,1,0,0,0,432,412,1,1,51,49,1494136
23/04/2026,Allsvenskan Suecia 1a,2026,DEGERFORS IF,AIK STOCKHOLM,2,1,1,1,H,11,9,2,3,17,13,4,7,3,4,0,0,326,384,2,1,46,54,1494137
22/04/2026,Allsvenskan Suecia 1a,2026,IF ELFSBORG,DJURGARDENS IF,2,1,1,1,H,9,19,3,5,16,6,2,7,3,2,0,0,207,679,4,1,24,76,1494138
23/04/2026,Allsvenskan Suecia 1a,2026,GAIS,MJALLBY AIF,0,0,0,0,D,25,13,8,3,10,8,7,2,0,2,0,0,389,502,3,7,45,55,1494139
22/04/2026,Allsvenskan Suecia 1a,2026,HAMMARBY FF,HALMSTAD,1,1,0,1,D,20,9,4,3,13,14,9,0,2,3,0,0,751,222,2,3,77,23,1494140
23/04/2026,Allsvenskan Suecia 1a,2026,KALMAR FF,IFK GOTEBORG,1,1,1,1,D,11,16,7,5,8,10,8,5,0,3,0,0,394,508,4,6,44,56,1494141
23/04/2026,Allsvenskan Suecia 1a,2026,MALMO FF,SIRIUS,2,3,0,1,A,15,16,5,4,17,15,4,3,2,2,0,0,472,352,1,3,57,43,1494142
22/04/2026,Allsvenskan Suecia 1a,2026,ORGRYTE IS,IF BROMMAPOJKARNA,1,2,0,1,A,12,6,3,2,11,10,2,1,2,1,0,0,521,476,0,2,53,47,1494143
22/04/2026,Allsvenskan Suecia 1a,2026,VASTERAS SK FK,BK HACKEN,3,3,2,1,D,15,15,7,4,15,7,5,9,3,2,0,0,362,510,1,4,41,59,1494144
27/04/2026,Allsvenskan Suecia 1a,2026,AIK STOCKHOLM,MALMO FF,0,1,0,1,A,18,9,9,4,10,11,16,6,3,1,0,0,478,385,3,9,56,44,1494145
26/04/2026,Allsvenskan Suecia 1a,2026,IF BROMMAPOJKARNA,VASTERAS SK FK,1,2,1,1,A,16,15,5,6,9,14,6,6,0,1,0,0,452,435,4,4,52,48,1494146
26/04/2026,Allsvenskan Suecia 1a,2026,DJURGARDENS IF,HAMMARBY FF,1,1,1,0,D,6,16,3,4,20,8,1,2,1,1,0,0,326,541,3,2,38,62,1494147
26/04/2026,Allsvenskan Suecia 1a,2026,IFK GOTEBORG,GAIS,2,2,1,0,D,12,11,7,3,10,21,4,3,2,2,0,0,278,463,1,5,38,62,1494148
27/04/2026,Allsvenskan Suecia 1a,2026,BK HACKEN,SIRIUS,2,2,2,1,D,11,20,4,5,11,17,3,11,0,1,0,0,409,504,3,2,45,55,1494149
27/04/2026,Allsvenskan Suecia 1a,2026,KALMAR FF,IF ELFSBORG,2,1,1,1,H,8,6,4,2,15,11,1,3,3,4,0,0,451,516,1,2,46,54,1494150
27/04/2026,Allsvenskan Suecia 1a,2026,MJALLBY AIF,HALMSTAD,2,0,0,0,H,14,18,8,2,9,11,8,5,1,1,0,0,597,373,2,6,61,39,1494151
27/04/2026,Allsvenskan Suecia 1a,2026,ORGRYTE IS,DEGERFORS IF,1,1,0,0,D,12,9,7,5,10,6,5,0,2,3,0,0,503,434,4,6,55,45,1494152
02/05/2026,Allsvenskan Suecia 1a,2026,DEGERFORS IF,BK HACKEN,1,1,0,1,D,11,15,3,3,21,8,3,5,1,2,0,0,312,438,2,2,42,58,1494153
04/05/2026,Allsvenskan Suecia 1a,2026,DJURGARDENS IF,IFK GOTEBORG,6,0,3,0,H,23,14,10,4,11,10,7,7,1,2,0,0,468,330,4,5,58,42,1494154
03/05/2026,Allsvenskan Suecia 1a,2026,IF ELFSBORG,AIK STOCKHOLM,1,1,1,1,D,11,12,3,5,12,10,4,5,0,1,0,0,361,584,4,2,38,62,1494155
03/05/2026,Allsvenskan Suecia 1a,2026,GAIS,ORGRYTE IS,4,0,1,0,H,19,5,6,1,12,14,8,2,0,1,0,0,427,430,1,2,50,50,1494156
04/05/2026,Allsvenskan Suecia 1a,2026,HALMSTAD,IF BROMMAPOJKARNA,1,3,0,0,A,14,16,1,5,7,12,4,5,3,3,0,1,453,461,2,1,50,50,1494157
03/05/2026,Allsvenskan Suecia 1a,2026,HAMMARBY FF,VASTERAS SK FK,3,0,0,0,H,33,5,9,0,9,13,7,0,1,2,0,0,544,359,0,6,61,39,1494158
03/05/2026,Allsvenskan Suecia 1a,2026,MALMO FF,MJALLBY AIF,2,3,0,1,A,21,11,6,8,12,16,5,2,0,1,0,0,428,404,5,3,52,48,1494159
02/05/2026,Allsvenskan Suecia 1a,2026,SIRIUS,KALMAR FF,3,2,0,2,H,15,17,7,6,6,20,6,6,1,3,0,0,494,374,3,4,57,43,1494160
10/05/2026,Allsvenskan Suecia 1a,2026,AIK STOCKHOLM,DJURGARDENS IF,2,4,1,3,A,14,19,5,10,12,14,7,9,2,2,0,0,388,297,6,3,57,43,1494161
09/05/2026,Allsvenskan Suecia 1a,2026,DEGERFORS IF,MJALLBY AIF,1,4,0,3,A,17,10,3,6,16,12,3,5,1,2,0,0,405,574,2,2,42,58,1494162
08/05/2026,Allsvenskan Suecia 1a,2026,IF ELFSBORG,IF BROMMAPOJKARNA,2,0,0,0,H,13,14,6,4,7,6,5,8,2,0,0,0,584,401,4,4,59,41,1494163
09/05/2026,Allsvenskan Suecia 1a,2026,IFK GOTEBORG,HAMMARBY FF,0,1,0,0,A,10,13,0,4,20,9,4,5,2,0,0,0,356,444,3,0,45,55,1494164
10/05/2026,Allsvenskan Suecia 1a,2026,BK HACKEN,MALMO FF,3,2,3,2,H,15,17,7,6,14,10,4,5,3,1,0,0,349,549,4,4,40,60,1494165
10/05/2026,Allsvenskan Suecia 1a,2026,KALMAR FF,HALMSTAD,2,0,0,0,H,22,8,7,2,9,10,12,3,2,1,0,0,578,349,2,4,63,37,1494166
11/05/2026,Allsvenskan Suecia 1a,2026,SIRIUS,ORGRYTE IS,2,0,1,0,H,23,7,6,1,8,16,5,4,0,1,0,0,616,416,1,4,59,41,1494167
09/05/2026,Allsvenskan Suecia 1a,2026,VASTERAS SK FK,GAIS,0,1,0,0,A,5,14,2,6,8,16,1,5,0,3,0,0,540,449,5,2,54,46,1494168
17/05/2026,Allsvenskan Suecia 1a,2026,IF BROMMAPOJKARNA,KALMAR FF,1,0,1,0,H,7,23,3,8,10,13,4,3,4,0,0,0,527,575,7,2,47,53,1494169
