Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
13/08/2026,Saudi Pro League,2026/2027,ABHA,AL-HAZM,3,1P,A. Al Dwehe,A. Al Shamrani,,AL-HAZM,Normal Goal,1602972
13/08/2026,Saudi Pro League,2026/2027,ABHA,AL-HAZM,40,1P,A. Al Shamrani,S. Bendebka,,AL-HAZM,Normal Goal,1602972
13/08/2026,Saudi Pro League,2026/2027,ABHA,AL-HAZM,63,2P,M. Al Dawsari,,,ABHA,Normal Goal,1602972
13/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL-QADISIYAH FC,15,1P,H. Al Hammami,J. Brownhill,,AL SHABAB,Normal Goal,1602974
13/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL-QADISIYAH FC,36,1P,M. Abu Al Shamat,N. Fernandez,,AL-QADISIYAH FC,Normal Goal,1602974
13/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL-QADISIYAH FC,80,2P,J. Quinones,M. Al Qahtani,,AL-QADISIYAH FC,Normal Goal,1602974
13/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL-QADISIYAH FC,90,2P,T. Al Ammar,J. Quinones,,AL-QADISIYAH FC,Normal Goal,1602974
14/08/2026,Saudi Pro League,2026/2027,NEOM,AL-FAYHA,26,1P,A. Kone,S. Benrahma,,NEOM,Normal Goal,1602975
14/08/2026,Saudi Pro League,2026/2027,NEOM,AL-FAYHA,36,1P,S. Benrahma,A. Lacazette,,NEOM,Normal Goal,1602975
14/08/2026,Saudi Pro League,2026/2027,NEOM,AL-FAYHA,75,2P,Hugo Moura,N. Al Harthi,,AL-FAYHA,Normal Goal,1602975
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,19,1P,K. Benzema,,,AL-HILAL SAUDI FC,Penalty,1602977
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,26,1P,Malcom,,,AL-HILAL SAUDI FC,Normal Goal,1602977
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,28,1P,R. Neves,,,AL-HILAL SAUDI FC,Penalty,1602977
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,59,2P,A. Mendy,J. Seoane,,AL-FAISALY FC,Normal Goal,1602977
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,64,2P,T. Bongonda,C. Bassogog,,AL-FAISALY FC,Normal Goal,1602977
14/08/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-FAISALY FC,82,2P,R. Neves,,,AL-HILAL SAUDI FC,Penalty,1602977
