Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
28/01/2026,Serie A Brasil,2026,INTERNACIONAL,ATLETICO PARANAENSE,9,1P,S. Mendoza,K. Viveros,,ATLETICO PARANAENSE,Normal Goal,1492116
28/01/2026,Serie A Brasil,2026,VITORIA,REMO,58,2P,Renato Kayzer,Erick,,VITORIA,Normal Goal,1492119
28/01/2026,Serie A Brasil,2026,VITORIA,REMO,77,2P,Baralhas,Erick,,VITORIA,Normal Goal,1492119
28/01/2026,Serie A Brasil,2026,CORITIBA,RB BRAGANTINO,90,2P,Juninho Capixaba,Marcelinho,,RB BRAGANTINO,Normal Goal,1492114
28/01/2026,Serie A Brasil,2026,ATLETICO-MG,PALMEIRAS,27,1P,J. Lopez,Andreas Pereira,,PALMEIRAS,Normal Goal,1492110
28/01/2026,Serie A Brasil,2026,ATLETICO-MG,PALMEIRAS,44,1P,Victor Hugo,R. Lodi,,ATLETICO-MG,Normal Goal,1492110
28/01/2026,Serie A Brasil,2026,ATLETICO-MG,PALMEIRAS,74,2P,Khellven,,,ATLETICO-MG,Own Goal,1492110
28/01/2026,Serie A Brasil,2026,ATLETICO-MG,PALMEIRAS,84,2P,Vitor Roque,,,PALMEIRAS,Normal Goal,1492110
28/01/2026,Serie A Brasil,2026,FLUMINENSE,GREMIO,46,2P,Nonato,,,FLUMINENSE,Normal Goal,1492115
28/01/2026,Serie A Brasil,2026,FLUMINENSE,GREMIO,59,2P,L. Acosta,Rene,,FLUMINENSE,Normal Goal,1492115
28/01/2026,Serie A Brasil,2026,FLUMINENSE,GREMIO,75,2P,Carlos Vinicius,Gustavo Martins,,GREMIO,Normal Goal,1492115
28/01/2026,Serie A Brasil,2026,CORINTHIANS,BAHIA,12,1P,Breno Bidon,R. Garro,,CORINTHIANS,Normal Goal,1492113
28/01/2026,Serie A Brasil,2026,CORINTHIANS,BAHIA,32,1P,Jean Lucas,Gilberto,,BAHIA,Normal Goal,1492113
28/01/2026,Serie A Brasil,2026,CORINTHIANS,BAHIA,45,1P,Willian Jose,,,BAHIA,Penalty,1492113
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,16,1P,W. Clar,,,CHAPECOENSE-SC,Penalty,1492112
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,45,1P,Gabriel Menino,Igor Vinicius,,SANTOS,Normal Goal,1492112
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,67,2P,A. Barreal,Ze Rafael,,SANTOS,Normal Goal,1492112
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,73,2P,Higor Meritao,,,CHAPECOENSE-SC,Normal Goal,1492112
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,80,2P,Jean Carlos,,,CHAPECOENSE-SC,Normal Goal,1492112
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,90,2P,Rafael Carvalheira,Jean Carlos,,CHAPECOENSE-SC,Normal Goal,1492112
29/01/2026,Serie A Brasil,2026,SAO PAULO,FLAMENGO,54,2P,G. Plata,Pedro,,FLAMENGO,Normal Goal,1492118
29/01/2026,Serie A Brasil,2026,SAO PAULO,FLAMENGO,61,2P,Luciano,E. Diaz,,SAO PAULO,Normal Goal,1492118
29/01/2026,Serie A Brasil,2026,SAO PAULO,FLAMENGO,71,2P,Danielzinho,,,SAO PAULO,Normal Goal,1492118
29/01/2026,Serie A Brasil,2026,MIRASSOL,VASCO DA GAMA,21,1P,Coutinho,J. Rodriguez,,VASCO DA GAMA,Normal Goal,1492117
