Date,League,HomeTeam,AwayTeam,jugador,equipo,minutos,fixture_id
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Aarón Escandell,OVIEDO,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Nacho Vidal,OVIEDO,63.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,David Costas,OVIEDO,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Dani Calvo,OVIEDO,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Samu Rodríguez,OVIEDO,62.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Alberto Reina,OVIEDO,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Youness Lachhab,OVIEDO,81.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Pablo Sáenz,OVIEDO,70.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Daniel Villahermosa,OVIEDO,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Jacobo González,OVIEDO,81.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Chris Ramos,OVIEDO,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Juan Cruz,OVIEDO,28.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Aisar Ahmed,OVIEDO,27.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Alexandru Ișfan,OVIEDO,20.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Enzo Pérez,OVIEDO,9.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Víctor Mingo,OVIEDO,9.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Miguel Narvaez,OVIEDO,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Carlos Domínguez,OVIEDO,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Diego Menendez,OVIEDO,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Raúl Lizoain,GRANADA CF,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Sergio López,GRANADA CF,70.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Manuel Lama,GRANADA CF,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Bourama Dembelé,GRANADA CF,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Baïla Diallo,GRANADA CF,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Pedro Alemañ,GRANADA CF,57.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Rubén Alcaraz,GRANADA CF,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Gerard Gumbau,GRANADA CF,90.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Sergio Rodelas,GRANADA CF,70.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Chinaza Onouha,GRANADA CF,57.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,José Manuel Arnáiz,GRANADA CF,78.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Jorge Pascual,GRANADA CF,33.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Alejandro Marqués,GRANADA CF,33.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Oscar Naasei,GRANADA CF,20.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Owen Emeka,GRANADA CF,20.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Abdoul Kader Bamba,GRANADA CF,12.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Alberto Flores,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Diego Hormigo,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Juanjo Flores,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Diego Pampín,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Ángelo García Hidalgo,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Mario Jimenez Gambin,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,OVIEDO,GRANADA CF,Dylan Rodríguez,GRANADA CF,0.0,1569880
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Jokin Ezkieta,CADIZ,90.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Juan Díaz,CADIZ,90.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Javi Castro,CADIZ,90.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Noah Ukwuije,CADIZ,89.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Manuel Rivera,CADIZ,63.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Rominigue Kouamé,CADIZ,63.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Damián Rodríguez,CADIZ,90.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Ibon Sánchez,CADIZ,63.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Jose Antonio de la Rosa,CADIZ,70.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Urko Izeta,CADIZ,90.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Antonio Cordero,CADIZ,90.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Roberto Rosado,CADIZ,27.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Joaquín González,CADIZ,27.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Borja Vázquez,CADIZ,27.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Suso,CADIZ,20.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Bojan Kovačević,CADIZ,1.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,David Gil,CADIZ,0.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Beñat de Jesús,CADIZ,0.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Kenan Toibibou,CADIZ,0.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Iker Recio,CADIZ,0.0,1569874
15/08/2026,LaLiga Hypermotion,CADIZ,CELTA DE VIGO II,Dilan Zárate,CADIZ,0.0,1569874
