Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,fixture_id
2022-02-04,Primera Chile,2022/2023,O'Higgins,D. La Serena,3,0,3.0,0.0,H,828397
2022-02-05,Primera Chile,2022/2023,Union Espanola,Palestino,1,1,1.0,0.0,D,828399
2022-02-05,Primera Chile,2022/2023,Coquimbo Unido,U. Catolica,2,3,2.0,1.0,A,828395
2022-02-06,Primera Chile,2022/2023,Antofagasta,Cobresal,0,1,0.0,0.0,A,828396
2022-02-06,Primera Chile,2022/2023,Union La Calera,Universidad de Chile,2,4,0.0,1.0,A,828394
2022-02-06,Primera Chile,2022/2023,Colo Colo,Everton de Vina,2,0,0.0,0.0,H,828398
2022-02-07,Primera Chile,2022/2023,A. Italiano,Nublense,1,2,1.0,0.0,A,828400
2022-02-07,Primera Chile,2022/2023,Curico Unido,Huachipato,4,0,1.0,0.0,H,836831
2022-02-11,Primera Chile,2022/2023,Palestino,O'Higgins,1,0,1.0,0.0,H,828406
2022-02-11,Primera Chile,2022/2023,Everton de Vina,Coquimbo Unido,2,0,1.0,0.0,H,828403
2022-02-12,Primera Chile,2022/2023,Huachipato,A. Italiano,2,1,1.0,1.0,H,836832
2022-02-12,Primera Chile,2022/2023,Universidad de Chile,Antofagasta,2,1,1.0,0.0,H,828402
2022-02-13,Primera Chile,2022/2023,D. La Serena,Colo Colo,1,1,0.0,1.0,D,828401
2022-02-13,Primera Chile,2022/2023,U. Catolica,Union Espanola,2,1,1.0,0.0,H,828405
2022-02-14,Primera Chile,2022/2023,Nublense,Union La Calera,0,0,0.0,0.0,D,828404
2022-02-14,Primera Chile,2022/2023,Cobresal,Curico Unido,2,3,0.0,2.0,A,828407
2022-02-18,Primera Chile,2022/2023,O'Higgins,Huachipato,1,1,1.0,1.0,D,836833
2022-02-18,Primera Chile,2022/2023,Union Espanola,Everton de Vina,1,1,1.0,1.0,D,828411
2022-02-19,Primera Chile,2022/2023,Colo Colo,A. Italiano,1,1,1.0,0.0,D,828412
2022-02-19,Primera Chile,2022/2023,Antofagasta,D. La Serena,2,2,1.0,1.0,D,828410
2022-02-20,Primera Chile,2022/2023,Coquimbo Unido,Palestino,2,2,0.0,2.0,D,828413
2022-02-20,Primera Chile,2022/2023,Union La Calera,Cobresal,0,2,0.0,0.0,A,828409
2022-02-20,Primera Chile,2022/2023,U. Catolica,Curico Unido,1,0,0.0,0.0,H,828414
2022-02-21,Primera Chile,2022/2023,Nublense,Universidad de Chile,3,2,1.0,1.0,H,828408
2022-02-25,Primera Chile,2022/2023,Union La Calera,Everton de Vina,1,1,1.0,0.0,D,828418
2022-02-26,Primera Chile,2022/2023,D. La Serena,Coquimbo Unido,1,1,1.0,0.0,D,828417
2022-02-26,Primera Chile,2022/2023,Cobresal,Nublense,1,1,1.0,1.0,D,828421
2022-02-26,Primera Chile,2022/2023,A. Italiano,Antofagasta,0,3,0.0,2.0,A,828416
2022-02-27,Primera Chile,2022/2023,Huachipato,Colo Colo,1,0,0.0,0.0,H,836834
2022-02-27,Primera Chile,2022/2023,Palestino,U. Catolica,3,2,1.0,1.0,H,828415
2022-02-28,Primera Chile,2022/2023,Curico Unido,Union Espanola,0,1,0.0,0.0,A,828419
2022-02-28,Primera Chile,2022/2023,Universidad de Chile,O'Higgins,0,1,0.0,1.0,A,828420
2022-03-04,Primera Chile,2022/2023,Palestino,Union La Calera,0,0,0.0,0.0,D,828426
2022-03-04,Primera Chile,2022/2023,Nublense,D. La Serena,3,1,2.0,0.0,H,828425
2022-03-05,Primera Chile,2022/2023,Coquimbo Unido,Antofagasta,3,2,3.0,0.0,H,828424
2022-03-05,Primera Chile,2022/2023,Union Espanola,Huachipato,1,0,0.0,0.0,H,836835
2022-03-05,Primera Chile,2022/2023,Everton de Vina,Curico Unido,1,1,1.0,1.0,D,828428
2022-03-06,Primera Chile,2022/2023,Colo Colo,Universidad de Chile,4,1,3.0,0.0,H,828422
2022-03-06,Primera Chile,2022/2023,O'Higgins,A. Italiano,2,2,0.0,1.0,D,828427
2022-03-06,Primera Chile,2022/2023,Cobresal,U. Catolica,3,1,2.0,1.0,H,828423
2022-03-11,Primera Chile,2022/2023,D. La Serena,Cobresal,2,3,1.0,1.0,A,828430
2022-03-12,Primera Chile,2022/2023,Coquimbo Unido,Nublense,0,1,0.0,0.0,A,828435
2022-03-12,Primera Chile,2022/2023,U. Catolica,Everton de Vina,0,1,0.0,0.0,A,828431
2022-03-12,Primera Chile,2022/2023,Union La Calera,Huachipato,1,0,0.0,0.0,H,836836
2022-03-13,Primera Chile,2022/2023,Curico Unido,O'Higgins,5,0,4.0,0.0,H,828434
2022-03-13,Primera Chile,2022/2023,A. Italiano,Palestino,3,1,1.0,0.0,H,828433
2022-03-14,Primera Chile,2022/2023,Antofagasta,Colo Colo,0,1,0.0,0.0,A,828429
2022-03-17,Primera Chile,2022/2023,Universidad de Chile,Curico Unido,1,1,0.0,0.0,D,828441
2022-03-19,Primera Chile,2022/2023,O'Higgins,U. Catolica,2,1,2.0,0.0,H,828437
2022-03-19,Primera Chile,2022/2023,Cobresal,Coquimbo Unido,2,1,0.0,1.0,H,828438
2022-03-20,Primera Chile,2022/2023,Huachipato,D. La Serena,2,3,0.0,3.0,A,836837
2022-03-20,Primera Chile,2022/2023,Palestino,Colo Colo,0,5,0.0,3.0,A,828436
2022-03-20,Primera Chile,2022/2023,Everton de Vina,A. Italiano,0,0,0.0,0.0,D,828440
2022-03-21,Primera Chile,2022/2023,Antofagasta,Union La Calera,0,0,0.0,0.0,D,828439
2022-03-21,Primera Chile,2022/2023,Union Espanola,Nublense,1,0,1.0,0.0,H,828442
2022-03-27,Primera Chile,2022/2023,Universidad de Chile,Union Espanola,2,0,1.0,0.0,H,828432
2022-03-31,Primera Chile,2022/2023,Colo Colo,Union La Calera,4,0,2.0,0.0,H,828446
2022-04-01,Primera Chile,2022/2023,D. La Serena,Everton de Vina,1,3,1.0,0.0,A,828447
2022-04-02,Primera Chile,2022/2023,Nublense,Antofagasta,1,1,0.0,0.0,D,828444
2022-04-02,Primera Chile,2022/2023,U. Catolica,Universidad de Chile,2,1,2.0,0.0,H,828443
2022-04-02,Primera Chile,2022/2023,O'Higgins,Coquimbo Unido,2,1,0.0,0.0,H,828445
2022-04-03,Primera Chile,2022/2023,Huachipato,Cobresal,1,0,0.0,0.0,H,836838
2022-04-03,Primera Chile,2022/2023,A. Italiano,Union Espanola,0,1,0.0,0.0,A,828448
2022-04-05,Primera Chile,2022/2023,Curico Unido,Palestino,0,0,0.0,0.0,D,828449
2022-04-09,Primera Chile,2022/2023,Everton de Vina,Huachipato,0,1,0.0,0.0,A,836839
2022-04-09,Primera Chile,2022/2023,Coquimbo Unido,Universidad de Chile,1,0,0.0,0.0,H,828450
2022-04-10,Primera Chile,2022/2023,U. Catolica,D. La Serena,0,2,0.0,1.0,A,828452
2022-04-10,Primera Chile,2022/2023,Cobresal,A. Italiano,0,1,0.0,1.0,A,828453
2022-04-10,Primera Chile,2022/2023,Palestino,Nublense,1,1,1.0,0.0,D,828456
2022-04-10,Primera Chile,2022/2023,Union Espanola,Colo Colo,2,1,0.0,1.0,H,828451
2022-04-11,Primera Chile,2022/2023,Union La Calera,Curico Unido,0,0,0.0,0.0,D,828455
2022-04-15,Primera Chile,2022/2023,D. La Serena,Union Espanola,1,2,1.0,1.0,A,828461
2022-04-16,Primera Chile,2022/2023,A. Italiano,Coquimbo Unido,1,1,0.0,1.0,D,828459
