Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
21/03/2026,Brasileirao Serie B,2026/2027,VILA NOVA,CRB,2,2,0,1,D,0.0,0.0,0.0,0,1,0,1,5,3,1,1,2,1,0,0,56,91,1,0,39,61,0,1,0,1,5,3,1,1,2,1,0,0,56,91,39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520609
22/03/2026,Serie A Brasil,2026/2027,SAO PAULO,PALMEIRAS,0,1,0,1,A,0.0,0.0,0.0,2,6,0,2,13,21,10,1,3,5,0,0,544,337,1,0,63,37,2,6,0,2,13,21,10,1,3,5,0,0,544,337,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492187
19/04/2026,Serie A Brasil,2026/2027,CORITIBA,ATLETICO-MG,2,0,1,0,H,0.0,0.0,0.0,2,23,2,7,17,10,2,8,2,1,1,1,196,638,7,0,23,77,2,23,2,7,17,10,2,8,2,1,1,1,196,638,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492222
22/03/2026,Brasileirao Serie B,2026/2027,NAUTICO RECIFE,CRICIUMA,0,1,0,1,A,0.0,0.0,0.0,2,2,0,1,2,1,1,0,0,0,0,0,32,19,0,0,63,37,2,2,0,1,2,1,1,0,0,0,0,0,32,19,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520606
12/04/2026,Chinese Super League,2026/2027,TIANJIN TEDA,QINGDAO JONOON,1,1,0,0,D,0.0,0.0,0.0,2,12,2,5,12,14,2,5,4,2,1,0,326,355,5,1,47,53,2,12,2,5,12,14,2,5,4,2,1,0,326,355,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523096
24/05/2026,Serie A Brasil,2026/2027,REMO,ATLETICO PARANAENSE,1,2,1,1,A,0.0,0.0,0.0,3,16,2,9,9,14,3,10,1,4,1,0,335,430,8,1,44,56,3,16,2,9,9,14,3,10,1,4,1,0,335,430,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492276
05/05/2026,Chinese Super League,2026/2027,SHENYANG URBAN,CHENGDU BETTER CITY,0,1,0,0,A,0.0,0.0,0.0,5,17,1,5,7,16,3,10,4,2,0,0,264,592,4,1,31,69,5,17,1,5,7,16,3,10,4,2,0,0,264,592,31,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523132
04/07/2026,Brasileirao Serie B,2026/2027,GOIAS,CEARA,2,0,1,0,H,0.0,0.0,0.0,5,16,3,0,16,13,2,14,2,1,0,0,287,447,0,1,38,62,5,16,3,0,16,13,2,14,2,1,0,0,287,447,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520755
30/05/2026,Serie A Brasil,2026/2027,SANTOS,VITORIA,3,1,1,0,H,0.0,0.0,0.0,5,22,4,9,17,8,1,5,3,4,1,0,334,412,8,1,44,56,5,22,4,9,17,8,1,5,3,4,1,0,334,412,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492288
01/04/2026,Serie A Brasil,2026/2027,INTERNACIONAL,SAO PAULO,1,1,1,0,D,0.0,0.0,0.0,6,15,4,3,18,15,2,11,1,1,0,0,294,584,2,3,34,66,6,15,4,3,18,15,2,11,1,1,0,0,294,584,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492197
