Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
28/01/2026,Serie A Brasil,2026,INTERNACIONAL,ATLETICO PARANAENSE,0,1,0,1,A,0.0,0.0,0.0,19,6,7,2,13,11,14,1,3,1,0,0,588,242,1,5,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492116
28/01/2026,Serie A Brasil,2026,VITORIA,REMO,2,0,0,0,H,0.0,0.0,0.0,20,13,7,1,13,17,4,1,2,4,0,0,311,410,1,5,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492119
28/01/2026,Serie A Brasil,2026,CORITIBA,RB BRAGANTINO,0,1,0,0,A,0.0,0.0,0.0,8,28,2,10,9,19,1,5,1,6,1,1,187,462,9,2,29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492114
28/01/2026,Serie A Brasil,2026,ATLETICO-MG,PALMEIRAS,2,2,1,1,D,0.0,0.0,0.0,15,14,2,7,14,20,5,7,4,2,0,0,383,338,5,1,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492110
28/01/2026,Serie A Brasil,2026,FLUMINENSE,GREMIO,2,1,0,0,H,0.0,0.0,0.0,10,12,6,3,13,13,3,6,1,1,0,0,490,448,2,4,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492115
28/01/2026,Serie A Brasil,2026,CORINTHIANS,BAHIA,1,2,1,2,A,0.0,0.0,0.0,17,11,5,6,14,14,4,6,3,5,0,1,470,321,4,4,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492113
28/01/2026,Serie A Brasil,2026,CHAPECOENSE-SC,SANTOS,4,2,1,1,H,0.0,0.0,0.0,8,25,4,5,10,5,1,14,2,3,0,0,281,540,3,0,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492112
29/01/2026,Serie A Brasil,2026,SAO PAULO,FLAMENGO,2,1,0,0,H,0.0,0.0,0.0,10,15,4,5,14,11,2,6,0,0,0,0,379,542,4,2,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492118
29/01/2026,Serie A Brasil,2026,MIRASSOL,VASCO DA GAMA,2,1,1,1,H,0.0,0.0,0.0,13,13,4,5,16,10,5,5,2,1,0,0,411,463,4,3,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492117
30/01/2026,Serie A Brasil,2026,BOTAFOGO,CRUZEIRO,4,0,0,0,H,0.0,0.0,0.0,10,17,5,4,10,12,3,7,1,2,0,0,380,449,4,1,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492111
04/02/2026,Serie A Brasil,2026,FLAMENGO,INTERNACIONAL,1,1,0,1,D,0.0,0.0,0.0,19,9,5,5,20,18,4,3,4,3,0,0,588,326,4,4,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492124
04/02/2026,Serie A Brasil,2026,RB BRAGANTINO,ATLETICO-MG,1,0,1,0,H,0.0,0.0,0.0,19,11,5,2,14,8,6,12,3,2,0,0,371,403,2,4,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492122
04/02/2026,Serie A Brasil,2026,SANTOS,SAO PAULO,1,1,1,0,D,0.0,0.0,0.0,12,9,3,3,15,21,7,4,5,1,0,0,394,391,2,2,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492128
04/02/2026,Serie A Brasil,2026,REMO,MIRASSOL,2,2,2,0,D,0.0,0.0,0.0,18,8,7,5,15,9,4,4,2,2,0,0,277,486,3,5,36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492127
05/02/2026,Serie A Brasil,2026,PALMEIRAS,VITORIA,5,1,3,0,H,0.0,0.0,0.0,17,9,8,4,13,16,6,4,1,4,0,0,426,285,2,2,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492126
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,5,3,1,2,H,0.0,0.0,0.0,14,9,8,4,13,16,4,2,0,3,0,0,356,471,1,3,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492125
05/02/2026,Serie A Brasil,2026,BAHIA,FLUMINENSE,1,1,0,1,D,0.0,0.0,0.0,19,13,6,4,12,13,6,4,0,3,1,0,350,512,3,5,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492121
