fixture_id,League,Season,Date,Home,Away,FTHG,FTAG,Result,Round
825995,Super Liga Malasia,2022/2023,2022-03-04,Sabah FA,Negeri Sembilan,0,1,0-1,Regular Season - 1
825991,Super Liga Malasia,2022/2023,2022-03-04,Selangor United,Kedah,0,1,0-1,Regular Season - 1
825992,Super Liga Malasia,2022/2023,2022-03-04,Kuala Lumpur FA,Selangor,3,3,3-3,Regular Season - 1
825993,Super Liga Malasia,2022/2023,2022-03-04,Johor Darul Takzim FC,Penang,1,0,1-0,Regular Season - 1
825996,Super Liga Malasia,2022/2023,2022-03-05,Petaling Jaya City,Melaka United,1,0,1-0,Regular Season - 1
844274,Super Liga Malasia,2022/2023,2022-03-08,Penang,Melaka United,1,1,1-1,Regular Season - 2
844276,Super Liga Malasia,2022/2023,2022-03-09,Sabah FA,Petaling Jaya City,3,1,3-1,Regular Season - 2
844278,Super Liga Malasia,2022/2023,2022-03-09,Johor Darul Takzim FC,Selangor United,6,0,6-0,Regular Season - 2
844279,Super Liga Malasia,2022/2023,2022-03-09,Kedah,Kuala Lumpur FA,3,2,3-2,Regular Season - 2
844280,Super Liga Malasia,2022/2023,2022-04-05,Selangor United,Penang,1,1,1-1,Regular Season - 3
844282,Super Liga Malasia,2022/2023,2022-04-05,Negeri Sembilan,Selangor,2,2,2-2,Regular Season - 3
844281,Super Liga Malasia,2022/2023,2022-04-05,Melaka United,Sabah FA,0,1,0-1,Regular Season - 3
844285,Super Liga Malasia,2022/2023,2022-04-06,Petaling Jaya City,Terengganu,3,0,3-0,Regular Season - 3
844283,Super Liga Malasia,2022/2023,2022-04-06,Kuala Lumpur FA,Johor Darul Takzim FC,0,3,0-3,Regular Season - 3
844284,Super Liga Malasia,2022/2023,2022-04-06,Kedah,Pahang,1,0,1-0,Regular Season - 3
844286,Super Liga Malasia,2022/2023,2022-04-09,Penang,Negeri Sembilan,1,1,1-1,Regular Season - 4
844288,Super Liga Malasia,2022/2023,2022-04-09,Kuala Lumpur FA,Melaka United,2,0,2-0,Regular Season - 4
844287,Super Liga Malasia,2022/2023,2022-04-09,Pahang,Petaling Jaya City,1,1,1-1,Regular Season - 4
844289,Super Liga Malasia,2022/2023,2022-04-10,Selangor United,Sabah FA,0,1,0-1,Regular Season - 4
844290,Super Liga Malasia,2022/2023,2022-04-10,Johor Darul Takzim FC,Terengganu,2,1,2-1,Regular Season - 4
844291,Super Liga Malasia,2022/2023,2022-04-10,Selangor,Kedah,4,1,4-1,Regular Season - 4
844292,Super Liga Malasia,2022/2023,2022-04-16,Negeri Sembilan,Petaling Jaya City,3,1,3-1,Regular Season - 5
844293,Super Liga Malasia,2022/2023,2022-04-16,Kuala Lumpur FA,Sabah FA,2,0,2-0,Regular Season - 5
844294,Super Liga Malasia,2022/2023,2022-04-16,Pahang,Melaka United,1,2,1-2,Regular Season - 5
