Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Poss_H,Poss_A,Passes_H,Passes_A
2024-08-15,SP1,2425,Athletic Club,Getafe,1,1,D,1,0,7,9,4,2,15,12,5,6,4,1,0,0,69,31,444,194
2024-08-15,SP1,2425,Real Betis,Girona,1,1,D,1,0,19,13,4,2,11,7,4,4,2,0,0,0,39,61,370,577
2024-08-16,SP1,2425,Celta Vigo,Alaves,2,1,H,0,1,6,10,4,2,8,23,3,3,2,2,0,0,64,36,551,299
2024-08-16,SP1,2425,Las Palmas,Sevilla,2,2,D,1,1,15,18,5,5,14,15,6,3,2,2,0,0,48,52,430,481
2024-08-17,SP1,2425,Osasuna,Leganes,1,1,D,0,1,16,10,6,4,14,12,6,4,3,2,0,0,61,39,456,303
2024-08-17,SP1,2425,Valencia,Barcelona,1,2,A,1,1,6,18,2,6,11,13,3,8,2,3,0,0,36,64,315,578
2024-08-18,SP1,2425,Real Sociedad,Rayo Vallecano,1,2,A,0,0,11,12,4,5,14,21,10,5,2,4,0,0,66,34,445,236
2024-08-18,SP1,2425,Mallorca,Real Madrid,1,1,D,0,1,12,13,5,5,11,6,8,7,1,0,0,1,34,66,322,667
2024-08-19,SP1,2425,Valladolid,Espanyol,1,0,H,1,0,12,10,1,2,15,8,3,2,2,2,0,0,45,55,387,479
2024-08-19,SP1,2425,Villarreal,Atletico Madrid,2,2,D,2,2,9,9,3,4,7,12,2,3,1,3,0,0,45,55,477,592
2024-08-23,SP1,2425,Celta Vigo,Valencia,3,1,H,2,1,7,13,5,5,9,11,4,7,3,0,0,0,49,51,486,492
2024-08-23,SP1,2425,Sevilla,Villarreal,1,2,A,1,1,16,8,7,6,16,8,7,2,3,5,0,0,60,40,529,354
2024-08-24,SP1,2425,Osasuna,Mallorca,1,0,H,0,0,15,10,5,1,10,8,5,4,2,1,0,0,45,55,314,379
2024-08-24,SP1,2425,Barcelona,Athletic Club,2,1,H,1,1,13,8,5,2,11,16,5,6,4,5,0,0,65,35,568,293
2024-08-24,SP1,2425,Espanyol,Real Sociedad,0,1,A,0,0,13,8,4,3,14,18,7,4,2,2,0,0,34,66,259,522
2024-08-24,SP1,2425,Getafe,Rayo Vallecano,0,0,D,0,0,12,3,0,0,16,18,3,2,1,2,0,0,48,52,284,307
2024-08-25,SP1,2425,Real Madrid,Valladolid,3,0,H,0,0,17,8,9,0,10,15,5,5,1,1,0,0,64,36,648,359
2024-08-25,SP1,2425,Leganes,Las Palmas,2,1,H,0,0,10,10,5,5,11,10,3,7,1,1,0,0,40,60,342,519
2024-08-25,SP1,2425,Alaves,Real Betis,0,0,D,0,0,5,15,1,3,17,16,3,8,1,4,1,0,37,63,301,530
2024-08-25,SP1,2425,Atletico Madrid,Girona,3,0,H,1,0,11,13,6,4,11,11,1,9,1,3,0,0,42,58,462,610
2024-08-26,SP1,2425,Villarreal,Celta Vigo,4,3,H,1,2,24,20,9,9,8,7,7,4,4,3,0,0,45,55,450,565
2024-08-27,SP1,2425,Mallorca,Sevilla,0,0,D,0,0,12,16,4,7,15,10,5,9,0,1,0,1,45,55,385,485
2024-08-27,SP1,2425,Rayo Vallecano,Barcelona,1,2,A,1,0,8,22,4,5,17,11,6,6,3,1,0,0,35,65,270,529
2024-08-28,SP1,2425,Athletic Club,Valencia,1,0,H,1,0,13,2,4,0,14,9,5,3,1,3,0,0,51,49,418,415
2024-08-28,SP1,2425,Valladolid,Leganes,0,0,D,0,0,12,7,2,1,13,19,4,4,1,5,0,0,59,41,493,360
2024-08-28,SP1,2425,Atletico Madrid,Espanyol,0,0,D,0,0,25,8,7,1,6,9,9,3,0,2,0,0,62,38,595,362
2024-08-28,SP1,2425,Real Sociedad,Alaves,1,2,A,1,1,10,14,1,5,16,13,8,6,4,4,1,0,53,47,350,304
2024-08-29,SP1,2425,Girona,Osasuna,4,0,H,1,0,10,1,5,0,10,9,5,0,0,0,0,0,60,40,572,396
2024-08-29,SP1,2425,Las Palmas,Real Madrid,1,1,D,1,0,7,25,2,8,16,13,2,6,0,2,0,0,44,56,422,547
